id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
153,2023-11-04 11:44:12.731409,6.3,2.9,5.6,1.8,2
152,2023-11-04 11:44:11.727237,6.7,3.0,5.2,2.3,2
151,2023-11-04 11:44:10.723291,6.9,3.1,4.9,1.5,1
150,2023-11-04 11:44:09.719318,5.8,2.8,5.1,2.4,2
149,2023-11-04 11:44:08.715152,5.8,4.0,1.2,0.2,0
148,2023-11-04 11:44:07.711251,7.2,3.6,6.1,2.5,2
147,2023-11-04 11:44:06.707197,6.3,2.5,4.9,1.5,1
146,2023-11-04 11:44:05.703183,5.0,3.6,1.4,0.2,0
145,2023-11-04 11:44:04.698982,5.9,3.0,4.2,1.5,1
144,2023-11-04 11:44:03.695015,5.0,3.4,1.6,0.4,0
143,2023-11-04 11:44:02.690948,5.1,3.8,1.5,0.3,0
142,2023-11-04 11:44:01.686693,6.3,3.4,5.6,2.4,2
141,2023-11-04 11:44:00.682385,7.0,3.2,4.7,1.4,1
140,2023-11-04 11:43:59.678772,4.8,3.0,1.4,0.1,0
139,2023-11-04 11:43:58.674791,5.8,2.7,5.1,1.9,2
138,2023-11-04 11:43:57.671211,5.2,2.7,3.9,1.4,1
137,2023-11-04 11:43:56.667285,4.8,3.0,1.4,0.1,0
136,2023-11-04 11:43:55.663208,4.6,3.6,1.0,0.2,0
135,2023-11-04 11:43:54.658649,4.6,3.1,1.5,0.2,0
134,2023-11-04 11:43:53.654850,6.3,2.5,5.0,1.9,2
133,2023-11-04 11:43:52.651184,5.6,3.0,4.5,1.5,1
132,2023-11-04 11:43:51.647440,4.9,3.1,1.5,0.2,0
131,2023-11-04 11:43:50.643641,5.1,3.8,1.6,0.2,0
130,2023-11-04 11:43:49.639777,6.9,3.1,4.9,1.5,1
129,2023-11-04 11:43:48.636113,6.0,2.2,4.0,1.0,1
128,2023-11-04 11:43:47.632566,5.7,2.6,3.5,1.0,1
127,2023-11-04 11:43:46.628301,6.4,3.1,5.5,1.8,2
126,2023-11-04 11:43:45.623572,5.4,3.4,1.5,0.4,0
125,2023-11-04 11:43:44.619196,5.8,4.0,1.2,0.2,0
124,2023-11-04 11:43:43.615035,5.6,2.5,3.9,1.1,1
123,2023-11-04 11:43:42.610746,4.9,3.6,1.4,0.1,0
122,2023-11-04 11:43:41.606909,5.8,2.7,3.9,1.2,1
121,2023-11-04 11:43:40.602674,5.5,2.4,3.8,1.1,1
120,2023-11-04 11:43:39.598676,6.4,2.8,5.6,2.2,2
119,2023-11-04 11:43:38.594615,4.6,3.4,1.4,0.3,0
118,2023-11-04 11:43:37.590387,6.1,2.8,4.0,1.3,1
117,2023-11-04 11:43:36.586435,5.0,3.5,1.3,0.3,0
116,2023-11-04 11:43:35.582782,5.2,3.5,1.5,0.2,0
115,2023-11-04 11:43:34.578977,5.8,2.6,4.0,1.2,1
114,2023-11-04 11:43:33.575285,6.8,3.0,5.5,2.1,2
113,2023-11-04 11:43:32.571345,6.3,2.3,4.4,1.3,1
112,2023-11-04 11:43:31.567584,6.3,2.5,5.0,1.9,2
111,2023-11-04 11:43:30.563274,6.3,3.3,4.7,1.6,1
110,2023-11-04 11:43:29.559447,6.7,3.3,5.7,2.5,2
109,2023-11-04 11:43:28.555658,5.4,3.4,1.7,0.2,0
108,2023-11-04 11:43:27.551628,6.7,3.1,5.6,2.4,2
107,2023-11-04 11:43:26.547937,6.3,2.5,4.9,1.5,1
106,2023-11-04 11:43:25.544037,6.5,2.8,4.6,1.5,1
105,2023-11-04 11:43:24.540048,5.0,2.0,3.5,1.0,1
104,2023-11-04 11:43:23.536173,5.0,2.0,3.5,1.0,1
103,2023-11-04 11:43:22.532649,7.6,3.0,6.6,2.1,2
102,2023-11-04 11:43:21.528104,5.6,2.7,4.2,1.3,1
